2024-05-14 22:20:14.733 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-14 22:20:14.733 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-14 22:20:14.733 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-05-14 22:20:14.752 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-14 22:20:14.752 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 346 ms
2024-05-14 22:20:14.786 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-14 22:20:14.788 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-14 22:20:14.792 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-14 22:20:14.793 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Starting...
2024-05-14 22:20:14.804 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-4 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2852862f
2024-05-14 22:20:14.805 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Start completed.
2024-05-14 22:20:14.806 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-14 22:20:14.882 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-14 22:20:14.918 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:20:15.021 WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authController' defined in file [C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject\target\classes\edu\erezd\erezproject\controller\AuthController.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'authServiceImpl' defined in file [C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject\target\classes\edu\erezd\erezproject\service\impl\AuthServiceImpl.class]: Unsatisfied dependency expressed through constructor parameter 4: Error creating bean with name 'JWTService' defined in file [C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject\target\classes\edu\erezd\erezproject\service\JWTService.class]: Unsatisfied dependency expressed through constructor parameter 0: No qualifying bean of type 'org.springframework.security.oauth2.jwt.JwtEncoder' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {}
2024-05-14 22:20:15.021 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:20:15.021 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown initiated...
2024-05-14 22:20:15.046 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown completed.
2024-05-14 22:20:15.047 INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2024-05-14 22:20:15.052 INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-05-14 22:20:15.072 ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Parameter 0 of constructor in edu.erezd.erezproject.service.JWTService required a bean of type 'org.springframework.security.oauth2.jwt.JwtEncoder' that could not be found.


Action:

Consider defining a bean of type 'org.springframework.security.oauth2.jwt.JwtEncoder' in your configuration.

2024-05-14 22:20:16.554 INFO  e.e.e.ErezProjectApplication - Starting ErezProjectApplication using Java 21.0.2 with PID 48968 (C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject\target\classes started by Erez in C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject)
2024-05-14 22:20:16.554 INFO  e.e.e.ErezProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-14 22:20:16.718 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-14 22:20:16.732 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 4 JPA repository interfaces.
2024-05-14 22:20:16.801 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-14 22:20:16.802 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-14 22:20:16.803 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
